Timestamp,Demand_Forecast_kW,Solar_Forecast_kW,Solar_Used_kW,Bat_Charge_kW,Bat_Discharge_kW,Grid_Import_kW,Grid_Export_kW,Scheduled_SOC_kWh
2026-06-14 05:30:00,20.59226967791495,0.0,0.0,0.0,20.59226967791495,0.0,0.0,228.32392665482638
2026-06-14 06:30:00,22.282746769297383,3.02642454510211,3.02642454510211,0.0,19.256322224195273,0.0,0.0,208.05411378725242
2026-06-14 07:30:00,25.37082478029177,32.54210557393581,32.54210557393581,7.171280793644037,0.0,0.0,0.0,214.86683054121426
2026-06-14 08:30:00,29.799041885966,75.57901747281377,75.57901747281377,45.779975586847776,0.0,0.0,0.0,258.35780734871963
2026-06-14 09:30:00,35.80211012165111,106.47637606635222,106.47637606635222,70.6742659447011,0.0,0.0,0.0,325.4983599961857
2026-06-14 10:30:00,43.3144678701394,132.12121810375376,132.12121810375376,88.80675023361437,0.0,0.0,0.0,409.8647727181193
2026-06-14 11:30:00,51.61020147710888,159.27438354560869,159.27438354560869,94.879186612506,0.0,0.0,12.784995455993794,500.0
2026-06-14 12:30:00,59.58496502071742,163.9440508548908,163.9440508548908,0.0,0.0,0.0,104.35908583417338,500.0
2026-06-14 13:30:00,66.42639058244428,159.6154407807404,159.6154407807404,0.0,0.0,0.0,93.18905019829613,500.0
2026-06-14 14:30:00,72.00675284085827,125.03987570542354,125.03987570542354,0.0,0.0,0.0,53.03312286456527,500.0
2026-06-14 15:30:00,76.59788185577091,108.65435065086542,108.65435065086542,0.0,0.0,0.0,32.05646879509452,500.0
2026-06-14 16:30:00,80.19511251501078,76.06835788101282,76.06835788101282,0.0,4.126754633997962,0.0,0.0,495.6560477536864
2026-06-14 17:30:00,82.15257535407044,29.665741299582148,29.665741299582148,0.0,52.486834054488284,0.0,0.0,440.4067487489619
2026-06-14 18:30:00,81.5455575321005,11.153682465176615,11.153682465176615,0.0,70.39187506692389,0.0,0.0,366.3100381521999
2026-06-14 19:30:00,77.95675232421421,0.0,0.0,0.0,77.95675232421421,0.0,0.0,284.2502988635534
2026-06-14 20:30:00,71.94234593819996,0.0,0.0,0.0,71.94234593819996,0.0,0.0,208.52151366544814
2026-06-14 21:30:00,64.7168741713949,0.0,0.0,0.0,64.7168741713949,0.0,0.0,140.39848822187457
2026-06-14 22:30:00,57.33560069025696,0.0,0.0,0.0,57.33560069025696,0.0,0.0,80.04522433739356
2026-06-14 23:30:00,50.12827084640095,0.0,0.0,0.0,28.542963120523883,21.58530772587707,0.0,50.0
2026-06-15 00:30:00,42.88395811533795,0.0,0.0,0.0,0.0,42.88395811533795,0.0,50.0
2026-06-15 01:30:00,35.554844196921046,0.0,0.0,0.0,0.0,35.554844196921046,0.0,50.0
2026-06-15 02:30:00,28.755220382805412,0.0,0.0,0.0,0.0,28.755220382805412,0.0,50.0
2026-06-15 03:30:00,23.555656367035382,0.0,0.0,0.0,0.0,23.555656367035382,0.0,50.0
2026-06-15 04:30:00,20.777685306024853,0.0,0.0,0.0,0.0,20.777685306024853,0.0,50.0
